company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
First Solar,Software Engineer Intern (1st Shift),https://jobright.ai/jobs/info/6a56963c21f64463ad3557c4,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,10 hours ago,"Perrysburg, OH, United States",On Site,5001-10000,"1. Degree Level: High School Graduate 2. Intern candidate should have completed 2 years of their major coursework, focused in Computer Science or Management Information Systems. 3. Must currently be enrolled in a Bachelors, Master’s or PhD program who is fulfilling a graduation requirement for their degree. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=10 hours ago
Huawei Canada,Intern Researcher - Embodied AI,https://jobright.ai/jobs/info/6a55cfa3fdf4fa71202b58bf,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,"Markham, CA, United States",On Site,1001-5000,"1. Ph.D. in Computer Science, Electrical and Computer Engineering, Statistics, Applied Mathematics or a related technical field (or Master’s with related research experience and publications) with 2+ years of research and development experience 2. Good theoretical knowledge and methodological experience in the deep learning research-and-development cycle: literature review, model formulation and development, training, testing, monitoring, fine-tuning, and quantitative/qualitative analysis 3. Proficiency in a programming language (e.g. Python); Good understanding of basic data structures and computational algorithms; strong AI/ML coding skills; experienced in deep learning/machine learning frameworks (PyTorch and Tensorflow) ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
InComm Payments,Security Engineering Intern,https://jobright.ai/jobs/info/6a58523468d16a30e24127d4,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,11 hours ago,"Atlanta, GA, United States",Hybrid,1001-5000,"1. Must be enrolled in a full-time academic program, currently a junior or rising senior enrolled at a local Atlanta University (e.g., Georgia State University, University of Georgia, Kennesaw State University), currently pursuing a degree in Cybersecurity, Information Technology, Computer Science, or a related field. 2. Expected Graduation: Students must be on track to graduate in May or December 2027. 3. GPA Requirements: A minimum GPA of 3.0 or above is required to be considered for the position. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=11 hours ago
Marketeq Talent,Product Quality Engineer Intern,https://jobright.ai/jobs/info/6a6859fe9cca8c76d3cceed3,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,United States,Remote,1-10,"1. Currently pursuing or recently completed a degree in Computer Science, Information Technology, or a related field. 2. Basic understanding of web technologies (HTML, CSS, JavaScript) and familiarity with QA methodologies and tools. 3. Strong analytical and problem-solving skills, attention to detail, and effective communication abilities.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
NAXO,Summer Intern - Technical Investigations Support,https://jobright.ai/jobs/info/6a55c72d14f1040fa611baf6,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,"New York, NY, United States",On Site,1-10,"1. A rising senior or a graduate student. 2. Experience using a programming language to accomplish investigative goals (e.g. Python). 3. Basic computer networking and system administration literacy, including how to analyze network requests/responses and how to use virtual machines. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
"Presto Phoenix, Inc.","AI Engineering Intern, Voice & LLM Systems",https://jobright.ai/jobs/info/6a681277d0fb4c3df3940088,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,10 hours ago,"California, United States",Remote,101-250,"1. Currently pursuing a bachelor's or master's degree in computer science, AI, machine learning, or a related field 2. Strong programming fundamentals in Python 3. Coursework or project experience in machine learning, NLP, or AI systems ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=10 hours ago
Raytheon,Software Engineering Intern (On-site),https://jobright.ai/jobs/info/6a6875c3c1787161d1444a54,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"State College, PA, United States",On Site,501-1000,"1. This position is for an intern who is enrolled in a Bachelor’s (or higher) degree program in Computer Science, Computer Engineering, Software Engineering or related field and will be at minimum Sophomore, Junior, Senior or Post Grad year by summer 2027. 2. Software development experience with Java in a Unix/Linux environment 3. The ability to obtain and maintain a U.S. government issued security clearance is required. U.S. citizenship is required, as only U.S. citizens are eligible for a security clearance.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
SwitchThink Solutions,Orchestration and Automation Engineer Intern,https://jobright.ai/jobs/info/6a67a9d42bf1fb2b719265a2,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,11 hours ago,"Phoenix, AZ, United States",On Site,101-250,"1. High School Diploma or GED 2. Currently enrolled in a degree program for Computer Science, Information Technology, Information Systems, or other related field 3. Basic exposure to scripting, IT systems, or automation concepts through coursework or personal/academic projects ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=11 hours ago
Touchdown Labs,Member of Technical Staff Intern,https://jobright.ai/jobs/info/6a68292c50dec41e3527e633,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,9 hours ago,"Washington County, Oregon, United States",Remote,1-10,"1. Current bachelor’s, master’s, or PhD student, or recent graduate, with strong fundamentals and evidence of building, experimenting, or researching. 2. Ability to learn unfamiliar tools, ask precise questions, and finish a bounded project. 3. Code, research, experiments, technical writing, or projects that demonstrate curiosity and ownership. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
WD,Summer 2027 - Software Engineering Internship,https://jobright.ai/jobs/info/6a5e8bf3050c423c792f00bb,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,9 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Currently pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, Computer Engineering, Systems Engineering, Data Science, Electrical Engineering, or a related technical field. 2. Experience developing technical skills through coursework, internships, research, or personal projects using one or more programming languages such as C, C++, Python, Java, Go (Golang), SQL, JavaScript, or similar technologies. 3. Familiarity with software development fundamentals, debugging, data structures, algorithms, operating systems, or other computer engineering concepts. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
