company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Altera,AI Software Development Engineer - Intern,https://jobright.ai/jobs/info/6a5e6994f3674a0545d28d24,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
Cadence,Software Engineering Intern,https://jobright.ai/jobs/info/693b5c7ab309e37800871f1d,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
Exowatt,Software Engineering Intern - Agent Platform (AI),https://jobright.ai/jobs/info/6a51b5f2ae4052672fe99710,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
PlusAI,Software Engineer Intern - Data,https://jobright.ai/jobs/info/6a5ade8f63a8f619507c89d4,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
Rivian and Volkswagen Group Technologies,Data Engineering Intern - AI & Analytics (Fall 2026),https://jobright.ai/jobs/info/6a32cef229c90c607e4d829a,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
SPREEAI,Software Engineer Intern (AI Infrastructure / Training / Inference),https://jobright.ai/jobs/info/6a5744fff7517b519ad59ad4,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
TDK SensEI,Data Engineering Intern,https://jobright.ai/jobs/info/6a5a8d8f686b4755d1e15ce0,jobright_matches,,2026-07-20,2026-07-20T15:39:30-04:00,,,,,,,jobright_matches_scrape
Beyondsoft,Software Engineer Intern,https://jobright.ai/jobs/info/6a5e0a25f29acc1a117454b9,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,7 hours ago,United States,Remote,10000+,"1. Pursuing a BS/MS in Computer Science, Software Engineering, or a related technical field. 2. Solid programming foundation with experience in backend development, specifically C# and .NET. 3. Strong interest in generative AI, LLMs, and modern system architecture.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=7 hours ago
Bild AI,AI/SWE Intern,https://jobright.ai/jobs/info/6a5e49e7050c423c792ee390,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"San Francisco, CA, United States",On Site,1-10,"1. 0-to-1 builder, with your AI in production 2. Growth mindset, slope > y-intercept 3. Direct communication with empathy and honesty. Tell us what energizes and frustrates you ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
ByteDance,Software Engineer Intern (Developer Infrastructure) - 2026 Summer (BS/MS),https://jobright.ai/jobs/info/6a5e33cbf29acc1a1174607c,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"San Jose, California, United States",On Site,10000+,"1. Currently pursuing an Undergraduate/Master in Software Development, Computer Science, Computer Engineering, or a related technical discipline 2. Able to commit to working for 12 weeks in 2026. 3. Experience working with Android/Java/Objective-C/Python/Golang. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=4 hours ago
