company,slug,title,location,employmentType,publishedAt,jobUrl,applyUrl,required_count,required_essays,broad_sponsorship_question,export_control_question,external_artifact,g2_blockers,required_corrections,g2_candidate,notes
Clera,clera,"Research Engineer, Synthetic Data",San Francisco,FullTime,2026-08-27T17:28:12.136+00:00,https://jobs.ashbyhq.com/clera/6efd3681-edb4-40f3-b755-5a08575159e2,https://jobs.ashbyhq.com/clera/6efd3681-edb4-40f3-b755-5a08575159e2/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Research Engineer, QC Automation",San Francisco,FullTime,2026-08-27T17:23:12.286+00:00,https://jobs.ashbyhq.com/clera/1669f108-f39d-40b1-ba0f-83250f9b1992,https://jobs.ashbyhq.com/clera/1669f108-f39d-40b1-ba0f-83250f9b1992/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Research Engineer, Benchmarks",San Francisco,FullTime,2026-08-27T17:24:48.636+00:00,https://jobs.ashbyhq.com/clera/d05765cb-174d-4d93-b22f-f0512093be75,https://jobs.ashbyhq.com/clera/d05765cb-174d-4d93-b22f-f0512093be75/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Forward Deployed Research Engineer,San Francisco,FullTime,2026-08-27T17:25:41.153+00:00,https://jobs.ashbyhq.com/clera/92306d83-cb7d-4208-a6f6-fcf2c6d0c198,https://jobs.ashbyhq.com/clera/92306d83-cb7d-4208-a6f6-fcf2c6d0c198/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Software Engineer - AI,Berlin,FullTime,2026-08-27T20:02:10.198+00:00,https://jobs.ashbyhq.com/clera/b4635d3d-32c0-4aa5-990d-82ae6de2ecf8,https://jobs.ashbyhq.com/clera/b4635d3d-32c0-4aa5-990d-82ae6de2ecf8/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Forward Deployed Engineer,Berlin,FullTime,2026-08-27T20:03:47.932+00:00,https://jobs.ashbyhq.com/clera/9ea2c4c2-88f5-414d-9467-600669386246,https://jobs.ashbyhq.com/clera/9ea2c4c2-88f5-414d-9467-600669386246/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Full-Stack iOS Engineer,London,FullTime,2026-08-28T17:05:21.982+00:00,https://jobs.ashbyhq.com/clera/6ada3d35-fd55-4978-bf5b-8efee9f02b20,https://jobs.ashbyhq.com/clera/6ada3d35-fd55-4978-bf5b-8efee9f02b20/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,ML Engineer - Robotics,Mountain View,FullTime,2026-08-28T17:06:29.271+00:00,https://jobs.ashbyhq.com/clera/b6d15a5d-57af-492e-838b-3690f605fe45,https://jobs.ashbyhq.com/clera/b6d15a5d-57af-492e-838b-3690f605fe45/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer (Full Stack),San Francisco,FullTime,2026-08-28T17:08:23.701+00:00,https://jobs.ashbyhq.com/clera/a3235a3c-dd44-43e9-b957-d52a6971fbee,https://jobs.ashbyhq.com/clera/a3235a3c-dd44-43e9-b957-d52a6971fbee/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Product Engineer,Munich,FullTime,2026-08-28T17:09:55.720+00:00,https://jobs.ashbyhq.com/clera/ade14c96-c78f-4553-bafa-80246d476944,https://jobs.ashbyhq.com/clera/ade14c96-c78f-4553-bafa-80246d476944/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
