company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Atmos Energy,Sr Applications Developer,https://jobright.ai/jobs/info/6a6a770748355b3f12bf1211,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
California Lottery,Information Technology Specialist II - Senior Software Developer & Administrator,https://jobright.ai/jobs/info/6a6a76e48693c23e7fb7ae2a,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Cisco,Software Engineer Backend/Platform Systems I (Full Time) – United States,https://jobright.ai/jobs/info/6a6a76d148355b3f12bf120a,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Computerworld,Software Developer / Application & Web Support Lead,https://jobright.ai/jobs/info/6a6a772d48355b3f12bf1215,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Faire,"Product Lead, Data, ML, & AI Platform",https://jobright.ai/jobs/info/6a6a621316c69119640fe016,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Gwinnett County Public Schools,Technology And Innovation - Internship - Data Analyst - Business Solutions,https://jobright.ai/jobs/info/6a6a778d48355b3f12bf1227,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Netradyne,Founding Product Engineer,https://jobright.ai/jobs/info/6a6a76d019d76667a2abfd5e,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Noblesoft Technologies,Python Developer,https://jobright.ai/jobs/info/6a6a77b416c69119640fe892,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Publicis Canada,Software Engineer 2,https://jobright.ai/jobs/info/6a6a77b7c63ba56308f53649,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Tarleton State University,Talent Acquisition Specialist,https://jobright.ai/jobs/info/6a6a77bec63ba56308f5364a,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
VForce Infotech,Senior Insurance Data Analytics & BI Engineer,https://jobright.ai/jobs/info/6a6a77ce16c69119640fe89c,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Walmart,"(USA) Senior, Software Engineer, Data Engineering",https://jobright.ai/jobs/info/6a6a771e48355b3f12bf1213,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
Western Governors University,Software Engineer,https://jobright.ai/jobs/info/6a6a774616c69119640fe876,jobright_matches,,2026-07-29,2026-07-29T22:01:00+00:00,,,,,,,jobright_matches_scrape
AgFirst Farm Credit Bank,ERP Technology Intern,https://jobright.ai/jobs/info/6a6a630d48355b3f12bf0abe,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,"Columbia, SC, United States",On Site,501-1000,"1. Information Technology, Computer Science, or related majors 2. Undergrad and graduate-level students 3. Power BI, Excel, SQL, Python, RDBMS knowledge",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
Availity,Software Engineer Intern,https://jobright.ai/jobs/info/6a6a600416c69119640fdf7c,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,United States,Remote,501-1000,"1. Currently pursuing a Bachelor’s degree in Computer Science, Software Engineering, or a related technical field 2. Strong understanding of computer science fundamentals (data structures, algorithms, OOP) 3. Experience with one or more programming languages, such as Java, Python, or JavaScript ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
Cortina Solutions,Information Technology and Cybersecurity Intern,https://jobright.ai/jobs/info/6a67c2ca5d2a117fb9ced273,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,2 hours ago,"Huntsville, AL, United States",Hybrid,11-50,"1. MUST live in a HUBZone. To see if you reside in a HUBZone type your address in at, https://maps.certify.sba.gov/hubzone/map. Please confirm your address is in a Qualified HUBZone before you apply. 2. Must be a current undergraduate or graduate student in a relevant field 3. General computer systems competency ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
First Solar,Software Engineer Intern (1st Shift),https://jobright.ai/jobs/info/6a56963c21f64463ad3557c4,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,"Perrysburg, OH, United States",On Site,5001-10000,"1. Degree Level: High School Graduate 2. Intern candidate should have completed 2 years of their major coursework, focused in Computer Science or Management Information Systems. 3. Must currently be enrolled in a Bachelors, Master’s or PhD program who is fulfilling a graduation requirement for their degree. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
First Solar,Software Engineer Intern (1st Shift) - Fall 2026,https://jobright.ai/jobs/info/6a6a336848355b3f12befabc,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,"Perrysburg, OH, United States",On Site,5001-10000,"1. Degree Level: High School Graduate 2. Intern candidate should have completed 2 years of their major coursework, focused in Computer Science or Management Information Systems. 3. Must currently be enrolled in a Bachelors, Master’s or PhD program who is fulfilling a graduation requirement for their degree. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
General Dynamics Information Technology,Systems Engineer Intern,https://jobright.ai/jobs/info/6a6a632a0b42f866b6198684,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,"Albany, NY, United States",On Site,10000+,"1. Currently enrolled in an associate's, bachelor's or master's degree program in computer science, IT, engineering, or other STEM field from a United States-based college or university. 2. Core languages and Object-Oriented programming coursework including a minimum of one Java course 3. System Design, Data Structure, Application Framework, and Web Development course work. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
Huawei Canada,Intern Researcher – AI Foundation Model Training,https://jobright.ai/jobs/info/6a57bd7821f64463ad35bbdb,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,2 hours ago,"Markham, CA, United States",On Site,1001-5000,"1. Currently pursuing a PhD or Master Degree in Computer Science, Electrical Engineering, or a related field, with exposure to areas such as: AI architectures (e.g., transformers, mixture-of-experts), Computer architecture (e.g., memory systems, interconnects) or related domains 2. Familiarity with one or more of the following: Deep learning frameworks (e.g., PyTorch, vLLM, SGLang), large-scale model training concepts, distributed training fundamentals (e.g., data/model/tensor parallelism) 3. Demonstrated interest in research and development through: Academic projects, internships, or publications ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Intel,AI Software Engineering Intern,https://jobright.ai/jobs/info/6a6a51a719d76667a2abef95,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,2 hours ago,"Multi Locations: Folsom, CA, United States; Hillsboro, OR, United States; Phoenix, AZ, United States",Hybrid,5001-10000,"1. Available to work part-time for 6-12 months and to work onsite for the duration of the internship while pursuing a degree. 2. Pursuing a BS In The Field Of Computer Science, Electrical Engineering, Math Or Computer Engineering Or Data Science With 3+ Months Of Experience In 3. Programming languages such as Python and C++, and experience with AI frameworks and libraries like PyTorch, TensorFlow, ONNX Runtime, and OpenVINO.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Keysight Technologies,Software Engineering Intern,https://jobright.ai/jobs/info/6a6a586d0b42f866b6198281,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,2 hours ago,"Austin, TX, United States",On Site,10000+,1. College student 2. Excellent verbal and written English communication skills 3. Self-motivated; highly enthusiastic team player with strong analytical & problem-solving skills ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Leidos,Data Science Intern,https://jobright.ai/jobs/info/6a6a62420b42f866b6198615,intern_list,internship_if_eligible,2026-07-29,2026-07-29T22:01:12+00:00,1 hour ago,"San Diego, CA, United States",On Site,10000+,"1. Junior or Senior in college working towards a bachelor’s degree in Computer Science, Data Science, Mathematics, or related field. 2. Experience in Python and the standard machine learning libraries. 3. Good analytical and mathematical skills. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=1 hour ago
