company,role,url,source,track,category,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
AbbVie,Data Engineer (Hybrid),https://jobright.ai/jobs/info/6aa1d6f6500b01124c77f48b,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Agile Defense,Data Engineer (Various Locations),https://jobright.ai/jobs/info/6aa1d6832f936e4a53dae5b8,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Benchling,"Software Engineer, Tools And Automation",https://jobright.ai/jobs/info/6aa1d645ef23570cae24677b,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Holy Family Institute,Quality And Data Manager,https://jobright.ai/jobs/info/6aa1a9d9ef23570cae2457b3,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Incedo Inc.,Java Full Stack Developer,https://jobright.ai/jobs/info/6aa1d6bc2f936e4a53dae5c0,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Numeric,"Software Engineer, Product",https://jobright.ai/jobs/info/6aa1d6870ffb3d4fea6b7639,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Parabola,"Senior Software Engineer, Site Reliability",https://jobright.ai/jobs/info/6aa1d6d4ef23570cae246798,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Renesas Electronics,"Senior Software Engineer – Benchmarking, Performance & Competitive Analysis",https://jobright.ai/jobs/info/6aa1d7303272060a8e3f269b,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Tata Consultancy Services,Senior Software Engineer,https://jobright.ai/jobs/info/6aa1d750ef23570cae2467b2,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Wipro,DEVELOPER L3,https://jobright.ai/jobs/info/6a997be5040e5c3d075967e0,jobright_matches,,,2026-09-09,2026-09-09T22:03:41+00:00,,,,,,,jobright_matches_scrape
Acxiom,Intern - Data Scientist,https://jobright.ai/jobs/info/6aa0bd3fdbc0e60e37e0f6ea,intern_list,internship_if_eligible,data_science,2026-09-09,2026-09-09T22:03:59+00:00,20 hours ago,United States,Remote,1001-5000,"1. The Auto team seeks an intern working toward a master’s degree in business administration (MBA) or similar graduate degree. 2. As part of their studies, ideal candidates should be focused on marketing analytics, data science and visualization, business analysis and (but not limited to) statistics and market research. 3. 20-25 hours/week work dedication during the semester and up to 40/week during breaks and summer ...",https://jobright.ai/minisites-jobs/intern/us/data_science,minisite_scrape;category=data_science;cluster_hint=data_ml;posted=20 hours ago
Amazon,"2026 Applied Science Internship - United States, PhD Student Science Recruiting, Frontier AI & Robotics",https://jobright.ai/jobs/info/691c288915b41563671962b3,intern_list,internship_if_eligible,swe,2026-09-09,2026-09-09T22:03:59+00:00,3 hours ago,"Seattle, Washington, USA",On Site,10000+,"1. Are enrolled in a PhD 2. Can relocate to where the internship is based 3. Experience programming in Java, C++, Python or related language ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;category=swe;cluster_hint=cloud_swe;posted=3 hours ago
